TS,V1,V2,V3,W1,W2,W3
1497666600,231.92526566037498,233.6724826267878,232.9738797384504,0.0,0.0,0.0
1497670200,233.13141104822398,234.1916832045844,234.79186510142173,0.0,0.0,0.0
1497673800,229.91744019404985,231.1729709883466,232.1185210026616,0.0,0.0,0.0
1497677400,226.37300889554675,228.87892357984023,229.26276639834737,0.0,0.0,0.0
1497681000,233.13701161538842,235.6194368339421,234.95707438191658,0.0,0.0,0.0
1497684600,238.18761326016883,239.82539761257732,238.85385925052952,0.0,0.0,0.0
1497688200,233.38980843082982,235.2836359550276,235.1666884748982,0.0,0.0,0.0
1497691800,229.96276710149212,231.27197734893497,231.6424035269169,0.0,0.0,0.0
1497695400,232.56723504537624,233.46606269249455,233.79547400002747,0.0,0.0,0.0
1497699000,235.12625809018138,237.06882416014744,236.4926546256135,0.0,0.0,0.0
1497702600,237.77669899078842,240.76287015531017,239.1544896001302,0.0,0.0,0.0
1497706200,237.37480605195802,239.9567285716586,239.19328972059097,0.0,0.0,0.0
1497709800,239.2178734976267,241.0441643245694,240.74330184571647,0.0,0.0,0.0
1497713400,240.6065395632592,242.45509425315117,242.3802802604913,0.0,0.0,0.0
1497717000,240.98666229855758,243.73238077961963,243.74101795331887,0.0,0.0,0.0
1497720600,241.41976667303985,244.48222588163551,244.10719560723916,0.0,0.0,0.0
1497724200,241.24797672696823,242.40567343576785,243.0409194703928,0.0,0.0,0.0
1497727800,229.5057357667489,230.0508363746128,232.10807357004535,0.0,0.0,0.0
1497731400,230.30939448757655,230.94200498304352,232.57010916069993,0.0,0.0,0.0
1497735000,231.6239539252321,232.2864900316428,232.95398542616672,0.0,0.0,0.0
1497738600,232.7175725200077,233.32891477911159,233.51047649611556,0.0,0.0,0.0
1497742200,232.0644318174065,232.45914690240448,232.72033809950597,0.0,0.0,0.0
1497745800,233.35663661082444,234.505715649984,234.22047436500432,0.0,0.0,0.0
1497749400,229.4549661670396,230.12294262165867,229.864720331357,0.0,0.0,0.0
1497753000,229.934776939417,231.18107623076648,230.53959182317172,0.0,0.0,0.0
1497756600,237.55383273588126,239.59284761635843,239.4349745646455,0.0,0.0,0.0
1497760200,235.97751195572928,238.1951308007647,237.2715040917527,0.0,0.0,0.0
1497763800,234.83166651961602,236.93370255571296,236.5810403351685,0.0,0.0,0.0
1497767400,237.00807615484484,238.4855648815875,237.96706627469916,0.0,0.0,0.0
1497771000,235.0482089027621,236.64958584497418,236.03957288228162,0.0,0.0,0.0
1497774600,236.5065110739426,237.8606773968052,238.61144561463647,0.0,0.0,0.0
1497778200,237.23583625345086,238.6256476308824,238.7430372350272,0.0,0.0,0.0
1497781800,238.44708708204945,239.26360174498447,239.50733869194454,0.0,0.0,0.0
1497785400,240.18282031444127,241.6562118378429,241.75102685887887,0.0,0.0,0.0
1497789000,240.7487598298192,243.1463640001152,242.45161008079566,0.0,0.0,0.0
1497792600,237.19043569490339,239.21866445465758,238.64235182633672,0.0,0.0,0.0
1497796200,234.97959933272168,236.5121791528669,237.00434584266992,0.0,0.0,0.0
1497799800,235.27698858120883,237.16513622729636,237.19094803128425,0.0,0.0,0.0
1497803400,236.0034805845001,236.28796620767318,238.5158623623308,0.0,0.0,0.0
1497807000,236.4650167635107,237.28710713905758,239.40818206485756,0.0,0.0,0.0
1497810600,236.25539209344558,237.44880760872695,238.7869658517444,0.0,0.0,0.0
1497814200,232.2611931359764,233.05208629862625,234.13853077641681,0.0,0.0,0.0
1497817800,233.62471065710503,234.6081597356376,235.5635683569506,0.0,0.0,0.0
1497821400,235.58435939139525,236.60753646669156,237.4165539948596,0.0,0.0,0.0
